reference,sex_binary,aims_ancestry,aims_heterozygosity,tarsus.length,tail.length,wing.cord,kipps,distal,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,t5_spring40
AH26H03,1,0.2726901063,0.3900245298,NA,66,92,27.4,NA,NA,NA,237,NA,NA,0
AH26H04,0,0.07689556509,0.1223175966,27,66,92,32.2,NA,NA,NA,237,253,105.0084614,0
AH26H05,1,0.03715967623,0.06548933039,27.5,68,100,28.2,NA,NA,1.112727273,237,NA,NA,0
AH26H06,1,0.3617176128,0.6011644833,29.1,68,94,28.8,NA,NA,0.9621993127,237,NA,NA,0
AH26H07,1,0.06666666667,0.08561403509,27.5,65,92,28.5,NA,NA,NA,237,NA,NA,0
AH26H08,1,0.1151154654,0.1686494052,26.8,67,94,28.9,NA,NA,1.085820896,237,256,149.4931186,0
AH26H09,1,0.8361601085,0.2964721845,28.5,68,93,26.6,NA,NA,0.9929824561,237,248,174.4921726,0
AH26H10,0,0.3145743146,0.4098124098,26.6,66,92,27.5,NA,NA,1.093984962,237,255,137.9838,1
AH26H11,1,0.2142857143,0.3338119167,25.5,72,96,26.8,NA,NA,1.094117647,237,259,105.0084614,0
AH26H12,0,0.956861413,0.06997282609,28.5,73,93,28.9,NA,NA,1.028070175,237,NA,NA,0
AH26H13,1,0.06557377049,0.09123307199,25.3,67,98,28.4,NA,NA,1.158102767,237,NA,NA,0
AH31H01,1,0.1835577605,0.2537207654,26.8,66,93,29.8,NA,NA,1.141791045,242,262,188.3528213,0
AH31H02,0,0.5066713483,0.4346910112,27.7,65,92,28.2,NA,NA,1.083032491,242,255,95.9694439,0
AH31H03,0,0.06706884315,0.105748758,27.1,70,93,27.3,NA,NA,1.118081181,242,NA,NA,0
AH31H04,1,0.4354385965,0.6757894737,27,66,95,29.8,NA,NA,1.085185185,242,268,174.4921726,0
AI01H01,1,0.174368231,0.3097472924,26.7,69,95,28.6,NA,NA,1.029962547,243,NA,NA,0
AI01H02,1,0.1313347609,0.1898643826,27,71,97,28.3,NA,NA,NA,243,NA,NA,0
AI01H03,0,0.6789234268,0.5921152388,28.1,67,90,27.5,NA,NA,1.049822064,243,253,189.3982671,0
AI01H04,1,0.7175398633,0.5102505695,28.2,69,96,29.6,NA,NA,1.081560284,243,NA,NA,0
AI01H05,1,0.2383292383,0.4733824734,30.5,70,101,24,NA,NA,0.9737704918,243,262,137.9838,0
AI01H06,1,0.1559180577,0.2830045524,27.6,69,98,30.8,NA,NA,1.079710145,243,264,187.2102701,0
AI01H07,1,0.2784704904,0.4788029925,28,73,99,33.3,NA,NA,1.142857143,243,268,174.4921726,0
AI01H08,1,0.130484115,0.2004538578,27.7,66,96,29.8,NA,NA,1.184115523,243,NA,NA,0
AI01H09,1,0.7667883212,0.4474452555,25.8,67,95,26.9,NA,NA,1.089147287,243,NA,NA,0
AI01H10,1,0.2196745562,0.3890532544,27.1,68,100,33.2,NA,NA,1.025830258,243,261,95.9694439,0
AI01H11,1,0.5222614841,0.6190812721,27.6,71,95,25.8,NA,NA,1.02173913,243,NA,NA,0
AI01H12,1,0.1086182336,0.1531339031,25.4,72,95,29.5,NA,NA,1.07480315,243,259,95.9694439,0
AI01H13,1,0.2524928775,0.3625356125,27.1,68,93,28.4,NA,NA,1.029520295,243,NA,NA,0
AI01H14,0,0.4309256662,0.5617110799,25.3,65,93,28.8,NA,NA,1.18972332,243,NA,NA,1
AI01H15,0,0.1106259098,0.1979621543,26.6,66,90,27.5,NA,NA,1.229323308,243,255,130.8885936,1
AI01H16,1,0.2591925018,0.1593366979,28,69,96,30.5,NA,NA,1.017857143,243,259,130.8885936,0
AI01H17,0,0.1121933622,0.1724386724,26.2,64,92,31,NA,NA,1.003816794,243,NA,NA,0
AI02H01,1,0.6630886427,0.5782548476,29.7,73,100,32.1,NA,NA,1.077441077,244,NA,NA,0
AI02H03,1,0.1712034384,0.2693409742,28.5,66,98,31.4,NA,NA,1.059649123,244,264,130.8885936,0
AI02H04,1,0.09401408451,0.1330985915,27.2,66,97,31.4,NA,NA,1.047794118,244,NA,NA,0
AI02H05,0,0.1490552834,0.2015395381,25.7,66,90,28.1,NA,NA,1.105058366,244,262,137.9838,0
AI02H06,1,0.3629893238,0.4512455516,29.9,70,97,28.2,NA,NA,1.003344482,244,NA,NA,0
AI02H07,0,0.1470588235,0.2080344333,26.9,70,96,30.1,NA,NA,1.12267658,244,NA,NA,0
AI02H08,0,0.9262295082,0.1284153005,NA,73,93,26.9,NA,NA,NA,244,262,188.3528213,1
AI02H10,1,0.09671532847,0.1379562044,26.7,69,99,32.9,NA,NA,NA,244,NA,NA,0
BH28H01,1,0.4549950544,0.8941641939,27.6,NA,93,28.8,58,15,1.061594203,240,NA,NA,0
BH28H02,1,0.4228087649,0.8316733068,27.3,67,96,29.9,61.6,14,1.065934066,240,NA,NA,0
BH28H03,1,0.7403508772,0.4477192982,28.3,65,90,27.8,55,14,1.088339223,240,262,174.4921726,0
BH28H04,1,0.8560325685,0.2509252406,29.2,71,101,32.9,64.1,14,1.325342466,240,258,95.9694439,0
BH28H05,1,0.462962963,0.9198790627,26.8,68,96,29.1,62,15,1.063432836,240,255,149.4931186,1
