reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
AH31H01,0.1835577605,0.2537207654,26.8,30.6,66,93,29.8,NA,NA,NA,NA,67,NA,1.141791045,242,262,188.3528213,0.3225806452,0.5344827586,0.2941176471,0.2941176471,0.5272727273,NA,NA,NA,NA,0.2777777778,NA,0.6086956522,0.55,0.8292675239,0.5696664648,0
AH31H02,0.5066713483,0.4346910112,27.7,30,65,92,28.2,NA,NA,NA,NA,66,NA,1.083032491,242,255,95.9694439,0.4677419355,0.5,0.2352941176,0.2352941176,0.3818181818,NA,NA,NA,NA,0.2222222222,NA,0.6086956522,0.375,0.1789882383,0.4697396309,0
AH31H03,0.06706884315,0.105748758,27.1,30.3,70,93,27.3,NA,NA,NA,NA,70,NA,1.118081181,242,NA,NA,0.3709677419,0.5172413793,0.5294117647,0.2941176471,0.3,NA,NA,NA,NA,0.4444444444,NA,0.6086956522,NA,NA,0.5293446481,0
AH31H04,0.4354385965,0.6757894737,27,29.3,66,95,29.8,NA,NA,NA,NA,70,NA,1.085185185,242,268,174.4921726,0.3548387097,0.4597701149,0.2941176471,0.4117647059,0.5272727273,NA,NA,NA,NA,0.4444444444,NA,0.6086956522,0.7,0.7317035141,0.4734005774,0
AI01H01,0.174368231,0.3097472924,26.7,27.5,69,95,28.6,NA,NA,NA,NA,68,NA,1.029962547,243,NA,NA,0.3064516129,0.3563218391,0.4705882353,0.4117647059,0.4181818182,NA,NA,NA,NA,0.3333333333,NA,0.652173913,NA,NA,0.3794870439,0
AI01H02,0.1313347609,0.1898643826,27,NA,71,97,28.3,NA,NA,NA,NA,72,NA,NA,243,NA,NA,0.3548387097,NA,0.5882352941,0.5294117647,0.3909090909,NA,NA,NA,NA,0.5555555556,NA,0.652173913,NA,NA,NA,0
AI01H03,0.6789234268,0.5921152388,28.1,29.5,67,90,27.5,NA,NA,NA,NA,64,NA,1.049822064,243,253,189.3982671,0.5322580645,0.4712643678,0.3529411765,0.1176470588,0.3181818182,NA,NA,NA,NA,0.1111111111,NA,0.652173913,0.325,0.8366263343,0.4132608275,0
AI01H04,0.7175398633,0.5102505695,28.2,30.5,69,96,29.6,NA,NA,NA,NA,70,NA,1.081560284,243,NA,NA,0.5483870968,0.5287356322,0.4705882353,0.4705882353,0.5090909091,NA,NA,NA,NA,0.4444444444,NA,0.652173913,NA,NA,0.4672359442,0
AI01H05,0.2383292383,0.4733824734,30.5,29.7,70,101,24,NA,NA,NA,NA,75,NA,0.9737704918,243,262,137.9838,0.9193548387,0.4827586207,0.5294117647,0.7647058824,0,NA,NA,NA,NA,0.7222222222,NA,0.652173913,0.55,0.4747239672,0.2839248869,0
AI01H06,0.1559180577,0.2830045524,27.6,29.8,69,98,30.8,NA,NA,NA,NA,71,NA,1.079710145,243,264,187.2102701,0.4516129032,0.4885057471,0.4705882353,0.5882352941,0.6181818182,NA,NA,NA,NA,0.5,NA,0.652173913,0.6,0.8212251965,0.4640895341,0
